Code;Année;Taux Chomage
FR-56;01/01/2021;6.7
FR-57;01/01/2021;8.00
FR-58;01/01/2021;6.7
FR-59;01/01/2021;10.1
FR-60;01/01/2021;8.2
FR-61;01/01/2021;7.5
FR-62;01/01/2021;9.4
FR-63;01/01/2021;7.00
FR-64;01/01/2021;6.5
FR-65;01/01/2021;9.2
FR-66;01/01/2021;12.5
FR-67;01/01/2021;6.9
FR-68;01/01/2021;8.1
FR-69;01/01/2021;7.2
FR-70;01/01/2021;7.00
FR-71;01/01/2021;6.8
FR-72;01/01/2021;8.00
FR-73;01/01/2021;5.9
FR-74;01/01/2021;6.4
FR-75;01/01/2021;7.00
FR-76;01/01/2021;8.9
FR-77;01/01/2021;7.4
FR-78;01/01/2021;6.8
FR-79;01/01/2021;5.8
FR-80;01/01/2021;5.8
FR-81;01/01/2021;8.3
FR-82;01/01/2021;9.3
FR-83;01/01/2021;8.5
FR-84;01/01/2021;10.5
FR-85;01/01/2021;6.00
FR-86;01/01/2021;6.5
FR-87;01/01/2021;7.2
FR-88;01/01/2021;8.5
FR-89;01/01/2021;7.4
FR-90;01/01/2021;9.2
FR-91;01/01/2021;7.1
FR-92;01/01/2021;6.6
FR-93;01/01/2021;11.00
FR-94;01/01/2021;7.8
FR-95;01/01/2021;9.00
FR-01;01/01/2022;5.5
FR-02;01/01/2022;10.6
FR-03;01/01/2022;7.7
FR-04;01/01/2022;8.3
FR-05;01/01/2022;7.1
FR-06;01/01/2022;7.6
FR-07;01/01/2022;8.2
FR-08;01/01/2022;9.5
FR-09;01/01/2022;9.3
FR-10;01/01/2022;9.7
FR-11;01/01/2022;10.2
FR-12;01/01/2022;5.6
FR-13;01/01/2022;8.8
FR-14;01/01/2022;6.3
FR-15;01/01/2022;4.00
FR-16;01/01/2022;7.00
FR-17;01/01/2022;7.1
FR-18;01/01/2022;7.5
FR-19;01/01/2022;6.00
FR-21;01/01/2022;6.1
FR-22;01/01/2022;6.5
FR-23;01/01/2022;5.5
FR-24;01/01/2022;6.3
FR-25;01/01/2022;7.1
FR-26;01/01/2022;7.2
FR-27;01/01/2022;6.6
FR-28;01/01/2022;7.9
FR-29;01/01/2022;7.1
FR-2A;01/01/2022;6.7
FR-2B;01/01/2022;6.2
FR-30;01/01/2022;10.00
FR-31;01/01/2022;7.5
FR-32;01/01/2022;5.7
FR-33;01/01/2022;6.7
FR-34;01/01/2022;10.2
FR-35;01/01/2022;5.3
FR-36;01/01/2022;7.1
FR-37;01/01/2022;6.4
FR-38;01/01/2022;6.00
FR-39;01/01/2022;5.00
FR-40;01/01/2022;6.9
FR-41;01/01/2022;6.00
FR-42;01/01/2022;7.1
FR-43;01/01/2022;5.6
FR-44;01/01/2022;5.8
FR-45;01/01/2022;7.00
FR-46;01/01/2022;7.2
FR-47;01/01/2022;7.5
FR-48;01/01/2022;4.7
FR-49;01/01/2022;6.4
FR-50;01/01/2022;5.1
FR-51;01/01/2022;7.1
FR-52;01/01/2022;6.2
FR-53;01/01/2022;4.9
FR-54;01/01/2022;7.00
FR-55;01/01/2022;7.2
FR-56;01/01/2022;5.9
FR-57;01/01/2022;7.3
FR-58;01/01/2022;6.5
FR-59;01/01/2022;9.2
FR-60;01/01/2022;7.3
FR-61;01/01/2022;6.5
FR-62;01/01/2022;8.2
FR-63;01/01/2022;6.2
FR-64;01/01/2022;5.8
FR-65;01/01/2022;8.00
FR-66;01/01/2022;11.7
FR-67;01/01/2022;6.2
FR-68;01/01/2022;7.00
FR-69;01/01/2022;6.5
FR-70;01/01/2022;6.4
FR-71;01/01/2022;6.2
FR-72;01/01/2022;7.2
FR-73;01/01/2022;5.5
FR-74;01/01/2022;5.7
FR-75;01/01/2022;5.9
FR-76;01/01/2022;7.9
FR-77;01/01/2022;6.8
FR-78;01/01/2022;6.4
FR-79;01/01/2022;5.3
FR-80;01/01/2022;8.6
FR-81;01/01/2022;7.8
FR-82;01/01/2022;8.7
FR-83;01/01/2022;7.5
FR-84;01/01/2022;9.5
FR-85;01/01/2022;5.3
FR-86;01/01/2022;5.9
FR-87;01/01/2022;6.5
FR-88;01/01/2022;7.4
FR-89;01/01/2022;6.6
FR-90;01/01/2022;8.2
FR-91;01/01/2022;6.3
FR-92;01/01/2022;6.00
FR-93;01/01/2022;10.3
FR-94;01/01/2022;7.2
FR-95;01/01/2022;8.1
