ISO_Code;Grand secteur d'activité;Date;Valeur
FR-66;GS1 Industrie;01/01/2010;869
FR-66;GS4 Hôtellerie-restauration;01/01/2010;1507
FR-66;GS3 Commerce;01/01/2010;3148
FR-67;GS5 Autres services marchands hors intérim;01/01/2010;11460
FR-67;GS1 Industrie;01/01/2010;2610
FR-67;GS2 Construction;01/01/2010;3562
FR-67;GS4 Hôtellerie-restauration;01/01/2010;2809
FR-67;GS7 Services non marchands;01/01/2010;3297
FR-67;GS3 Commerce;01/01/2010;6937
FR-67;GS6 Intérim;01/01/2010;323
FR-68;GS2 Construction;01/01/2010;2186
FR-68;GS7 Services non marchands;01/01/2010;1931
FR-68;GS6 Intérim;01/01/2010;197
FR-68;GS3 Commerce;01/01/2010;4599
FR-68;GS5 Autres services marchands hors intérim;01/01/2010;6486
FR-68;GS4 Hôtellerie-restauration;01/01/2010;1781
FR-68;GS1 Industrie;01/01/2010;1759
FR-69;GS1 Industrie;01/01/2010;4725
FR-69;GS7 Services non marchands;01/01/2010;4645
FR-69;GS6 Intérim;01/01/2010;613
FR-69;GS4 Hôtellerie-restauration;01/01/2010;4337
FR-69;GS3 Commerce;01/01/2010;12105
FR-69;GS2 Construction;01/01/2010;5724
FR-69;GS5 Autres services marchands hors intérim;01/01/2010;25346
FR-70;GS4 Hôtellerie-restauration;01/01/2010;365
FR-70;GS7 Services non marchands;01/01/2010;498
FR-70;GS2 Construction;01/01/2010;811
FR-70;GS3 Commerce;01/01/2010;1260
FR-70;GS5 Autres services marchands hors intérim;01/01/2010;1534
FR-70;GS1 Industrie;01/01/2010;656
FR-70;GS6 Intérim;01/01/2010;49
FR-71;GS3 Commerce;01/01/2010;3576
FR-71;GS5 Autres services marchands hors intérim;01/01/2010;4680
FR-71;GS6 Intérim;01/01/2010;142
FR-71;GS1 Industrie;01/01/2010;1625
FR-71;GS2 Construction;01/01/2010;1945
FR-71;GS4 Hôtellerie-restauration;01/01/2010;1298
FR-71;GS7 Services non marchands;01/01/2010;1169
FR-72;GS4 Hôtellerie-restauration;01/01/2010;1079
FR-72;GS3 Commerce;01/01/2010;2830
FR-72;GS2 Construction;01/01/2010;1599
FR-72;GS5 Autres services marchands hors intérim;01/01/2010;4434
FR-72;GS7 Services non marchands;01/01/2010;1233
FR-72;GS1 Industrie;01/01/2010;1310
FR-72;GS6 Intérim;01/01/2010;116
FR-73;GS4 Hôtellerie-restauration;01/01/2010;2407
FR-73;GS7 Services non marchands;01/01/2010;1071
FR-73;GS6 Intérim;01/01/2010;102
FR-73;GS5 Autres services marchands hors intérim;01/01/2010;5805
FR-73;GS2 Construction;01/01/2010;2039
FR-73;GS1 Industrie;01/01/2010;1261
FR-73;GS3 Commerce;01/01/2010;3397
FR-74;GS3 Commerce;01/01/2010;5437
FR-74;GS7 Services non marchands;01/01/2010;1582
FR-74;GS1 Industrie;01/01/2010;2304
FR-74;GS4 Hôtellerie-restauration;01/01/2010;3097
FR-74;GS5 Autres services marchands hors intérim;01/01/2010;8750
FR-74;GS2 Construction;01/01/2010;3176
FR-74;GS6 Intérim;01/01/2010;169
FR-75;GS4 Hôtellerie-restauration;01/01/2010;14726
FR-75;GS6 Intérim;01/01/2010;1114
FR-75;GS7 Services non marchands;01/01/2010;8007
FR-75;GS5 Autres services marchands hors intérim;01/01/2010;90983
FR-75;GS1 Industrie;01/01/2010;5005
FR-75;GS3 Commerce;01/01/2010;25251
FR-75;GS2 Construction;01/01/2010;6338
FR-76;GS3 Commerce;01/01/2010;6619
